UNIQUE_EVENT,TARGET_DEPTH
HS201454-RB18,0
HS201454-RB19,0
HS201454-RB20,0
HS201454-RB21,0
HS201454-RB22,0
HS201454-RB23,0
HS201454-RB24,0
HS201454-RB25,0
HS201454-RB26,0
HS201454-RB27,0
HS201454-RB28,0
HS201455-CB01,0
HS201455-CB02,0
HS201455-CB03,3
HS201455-CB04,4
HS201455-CB05,4
HS201455-CB06,4
HS201455-CB07,3
HS201455-CB08,3
HS201455-CB09,4
HS201455-CB10,3
HS201455-CB11,3
HS201455-CB12,3
HS201455-HSD01,4
HS201455-HSD02,3
HS9735-002,5
HS9735-003,5
HS9735-004,5
HS9735-005,5
HS9735-006,5
HS9735-007,0
HS9735-008,0
HS9735-009,0
HS9735-010,0
HS9735-011,0
HS201638-HW12,10
HS201638-HW13,20
HS201638-HW14,0
HS201638-HW15,0
HS201638-HW16,0
BCSI-201734-HW18,30
BCSI-201734-HW19,10
BCSI-201734-HW20,20
BCSI-201734-HW21,0
BCSI-201734-HW22,30
BCSI-201734-HW23,10
BCSI-201734-HW24,20
BCSI-201734-HW25,0
BCSI-201734-HW26,30
BCSI-201734-HW27,10
BCSI-2019125-T04,0
BCSI-2019125-T05,0
BCSI-2019125-T06,0
BCSI-2020017-CS01,0
BCSI-2020017-CS08,0
BCSI-2020017-DE01,5
BCSI-2020017-DE03,0
BCSI-2020017-DE04,0
BCSI-2020017-DE07,0
BCSI-2020017-DE08,0
BCSI-2020017-DE09,0
BCSI-2020017-H01,1
BCSI-2020017-H02,8
BCSI-2020017-HN01,0
BCSI-2020017-HN02,0
BCSI-2020017-HN03,15
BCSI-2020017-HN04,1
BCSI-2020017-HS01,19
BCSI-2020017-HS02,0
BCSI-2020017-HS03,12
BCSI-2020017-Mason53,0
BCSI-2020017-MT08,0
BCSI-2020017-QCSD01,19
BCSI-2020017-QCSD02,19
BCSI-2020017-QCST01,0
BCSI-2020017-T01,0
HS0395-001,0
HS0395-002,0
HS0395-003,0
HS0395-004,0
HS0395-005,0
HS0395-006,0
HS0395-007,0
HS0395-008,0
HS0395-009,0
HS0395-010,0
HS0395-011,0
HS0395-012,0
HS0395-013,0
HS0395-014,0
HS0395-015,0
HS0395-016,0
HS0395-017,0
HS0395-018,0
HS0395-019,0
HS0395-020,0
HS0395-021,0
HS0395-022,0
HS0395-023,0
HS0395-024,0
HS0395-025,0
HS0395-026,0
HS0395-027,0
HS0395-028,0
HS0395-029,0
HS0395-030,0
HS0395-031,0
HS0395-032,0
HS0395-033,0
HS0395-034,0
HS0395-035,0
HS0395-036,0
HS0395-037,0
HS0395-038,0
HS0395-039,0
HS0395-040,0
HS0395-041,0
HS0395-042,0
HS0395-043,0
HS0395-044,0
HS1096-001,5
HS1096-002,6
HS1096-003,6
HS1096-004,7
HS1096-005,5
HS1096-006,6
HS1096-007,6
HS1096-008,6
HS1096-009,6
HS1096-010,6
HS1096-011,5
HS1096-012,6
HS1096-013,6
HS1096-014,5
HS1096-015,5
HS1096-016,9
HS1096-017,9
HS1096-018,15
HS1096-019,17
HS1096-020,5
HS1096-021,4
HS1096-022,5
HS1096-023,12
HS1096-037,12
HS1096-038,9
HS1096-039,11
HS1096-040,11
HS1096-041,4
HS1096-042,4
HS1096-044,4
HS1096-045,8
HS1096-046,11
HS1096-047,15
HS1096-048,15
HS1096-049,25
HS1096-050,14
HS1096-051,18
HS1096-052,10
HS1096-053,0
HS1096-054,10
HS1096-055,10
HS1096-056,11
HS1096-057,9
HS1096-058,11
HS1096-059,14
HS1096-060,13
HS1096-061,22
HS1096-062,15
HS1096-063,10
HS1096-064,14
HS1096-065,19
HS1096-066,17
HS1096-072,19
HS1096-073,14
HS1096-074,12
HS1096-075,15
HS200034-K03,0
HS200034-K04,0
HS200034-K05,0
HS200034-K06,15
HS200034-LP01,0
HS200034-LP02,0
HS200034-LP03,0
HS201447-RB04,0
HS201447-RB05,0
HS201447-RB06,0
HS201447-RB07,0
HS201447-RB08,0
HS201447-RB09,0
HS201447-RB10,0
HS201447-RB11,0
HS201447-RB12,0
HS201447-RB13,0
HS201447-RB14,0
HS201447-RB15,0
HS201447-RB16,0
HS201447-RB17,0
HS201447-RB18,0
HS201447-RB19,0
HS201447-RB20,0
HS201447-RB21,0
HS201447-RB22,0
HS201447-RB23,0
HS201447-RB24,0
HS201447-RB25,0
HS201447-RB26,0
HS201447-RB27,0
HS201542-RB05,0
HS201542-RB06,0
HS201542-RB07,0
HS201542-RB08,0
HS201542-RB09,0
HS201542-RB10,0
HS201542-RB11,0
HS201542-RB12,0
HS201542-RB13,0
