TRIP_ID,UNIQUE_EVENT,USABLE,TARGET_DEPTH,DFO_STAT_AREA_CODE,DFO_STAT_SUBAREA_CODE,STRATUM,BLOCK,VESSEL_NAME,DAY_NIGHT,START_LATITUDE,START_LONGITUDE,START_BOTTOM_DEPTH,END_BOTTOM_DEPTH,MAX_BOTTOM_DEPTH,MIN_BOTTOM_DEPTH,MODAL_BOTTOM_DEPTH,TOW_LENGTH_MINUTE,DISTANCE_TRAVELLED,DISTANCE_UNITS,DOORSPREAD,MOUTH_OPENING_HEIGHT,MOUTH_OPENING_WIDTH,Mean_Opening_Height,CALC_MOUTH_WIDTH_m,Mean_Headrope_Depth,MODAL_GEAR_DEPTH,NET_DESC,Avg_Height_ship,Avg_Height_rbr,Avg_Width_ship,Avg_Width_calc,Avg_Depth_ship,Avg_Depth_rbr,Avg_Door,MOUTH_HEIGHT_USE,MOUTH_HEIGHT_SOURCE,MOUTH_WIDTH_USE,MOUTH_WIDTH_SOURCE,Door_use,DISTANCE_KM,WIDTH_KM,HEIGHT_KM,MOUTH_KM2,VOLUME_KM3
201778,BCSI-201778-FH14,Y,0,9,1,NA,FH14,CFV SEACREST,DAY,51.506,-127.779,137,178,NA,NA,NA,20,1.46,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.7,0.03,0.012,3.60E-04,9.72E-04
201778,BCSI-201778-HP01,Y,30,8,2,NA,HP01,CFV SEACREST,DAY,51.713,-128.074,332,156,NA,NA,NA,20,1.41,NM,NA,12,30,NA,NA,NA,30,CanTrawl 250,12,NA,30,NA,30,NA,NA,12,SHIP,30,SHIP,NA,2.61,0.03,0.012,3.60E-04,9.40E-04
201778,BCSI-201778-HP02,Y,15,8,2,NA,HP02,CFV SEACREST,DAY,51.739,-128.001,193,390,NA,NA,NA,20,1.46,NM,NA,12,30,NA,NA,NA,15,CanTrawl 250,12,NA,30,NA,15,NA,NA,12,SHIP,30,SHIP,NA,2.7,0.03,0.012,3.60E-04,9.72E-04
201778,BCSI-201778-JS01,Y,15,12,3,NA,JS01,CFV SEACREST,DAY,50.538,-126.694,500,475,NA,NA,NA,20,1.02,NM,NA,12,30,NA,NA,NA,15,CanTrawl 250,12,NA,30,NA,15,NA,NA,12,SHIP,30,SHIP,NA,1.89,0.03,0.012,3.60E-04,6.80E-04
201778,BCSI-201778-JS02,Y,0,12,3,NA,JS02,CFV SEACREST,DAY,50.505,-126.489,389,395,NA,NA,NA,20,1.18,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.19,0.03,0.012,3.60E-04,7.88E-04
201778,BCSI-201778-JS03,Y,30,12,2,NA,JS03,CFV SEACREST,DAY,50.486,-126.327,367,352,NA,NA,NA,20,1.34,NM,NA,12,30,NA,NA,NA,30,CanTrawl 250,12,NA,30,NA,30,NA,NA,12,SHIP,30,SHIP,NA,2.48,0.03,0.012,3.60E-04,8.93E-04
201778,BCSI-201778-JS04,Y,0,12,1,NA,JS04,CFV SEACREST,DAY,50.479,-126.117,230,259,NA,NA,NA,20,1.31,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.43,0.03,0.012,3.60E-04,8.75E-04
201778,BCSI-201778-JS05,Y,15,12,1,NA,JS05,CFV SEACREST,DAY,50.451,-126.042,150,210,NA,NA,NA,21,1.65,NM,NA,12,30,NA,NA,NA,15,CanTrawl 250,12,NA,30,NA,15,NA,NA,12,SHIP,30,SHIP,NA,3.06,0.03,0.012,3.60E-04,0.0011016
201778,BCSI-201778-JS06,Y,0,13,29,NA,JS06,CFV SEACREST,DAY,50.367,-125.636,234,248,NA,NA,NA,18,1.43,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.65,0.03,0.012,3.60E-04,9.54E-04
201778,BCSI-201778-JS07,N,0,13,28,NA,JS07,CFV SEACREST,DAY,50.379,-125.575,237,105,NA,NA,NA,13,0.88,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,1.63,0.03,0.012,3.60E-04,5.87E-04
