UNIQUE_EVENT,n_JUV,n_AD,n_TOTAL,Species
HS200114-FI04,0,1,1,PINK
HS200114-FI05,0,17,17,PINK
HS200114-FI06,0,4,4,PINK
HS200114-FI07,0,7,7,PINK
HS200114-FI08,0,17,17,PINK
HS200114-FI09,0,20,20,PINK
HS200114-FI10,0,1,1,PINK
HS200114-FI11,0,1,1,PINK
HS200114-FI12,0,6,6,PINK
HS200114-FI13,0,4,4,PINK
HS200114-FI14,0,6,6,PINK
HS200114-FI15,0,2,2,PINK
HS200114-H01,0,0,0,PINK
HS200114-H02,0,0,0,PINK
HS200114-H03,0,0,0,PINK
HS200114-H04,0,0,0,PINK
HS200114-H05,0,0,0,PINK
HS200114-H06,0,0,0,PINK
HS200114-HS01,49,0,49,PINK
HS200114-HS02,0,0,0,PINK
HS200114-RI01,0,0,0,PINK
HS200114-RI02,0,0,0,PINK
HS200114-RI03,0,0,0,PINK
HS200114-RI04,0,0,0,PINK
HS200114-RI05,0,0,0,PINK
HS200114-SE01,0,0,0,PINK
HS200114-SE02,0,5,5,PINK
HS200114-SE03,0,1,1,PINK
HS200114-SE04,0,5,5,PINK
HS200114-SE05,0,0,0,PINK
HS200114-SM01,0,0,0,PINK
HS200114-SM02,0,0,0,PINK
HS200114-SM03,0,0,0,PINK
HS200114-T01,0,0,0,PINK
HS200114-T02,0,0,0,PINK
HS200114-T03,0,0,0,PINK
HS200114-T04,0,0,0,PINK
HS200114-T05,0,0,0,PINK
HS200114-T06,0,0,0,PINK
HS200114-T07,0,0,0,PINK
HS200114-T08,0,2,2,PINK
HS200114-T09,0,1,1,PINK
HS200114-T10,0,0,0,PINK
HS200114-T11,0,0,0,PINK
HS200114-T12,0,0,0,PINK
HS200114-T13,0,0,0,PINK
HS200114-T14,0,0,0,PINK
HS200114-VI01,0,0,0,PINK
HS200114-VI02,0,0,0,PINK
HS200114-VI03,0,0,0,PINK
HS200114-VI04,0,0,0,PINK
HS200114-VI05,0,0,0,PINK
HS200114-VI06,0,59,59,PINK
HS200118-015,0,0,0,PINK
HS200118-016,0,0,0,PINK
HS200118-017,0,0,0,PINK
HS200118-018,0,0,0,PINK
HS200118-019,0,0,0,PINK
HS200118-020,0,0,0,PINK
HS200118-021,0,1,1,PINK
HS200118-022,0,0,0,PINK
HS200118-023,0,96,96,PINK
HS200118-024,0,0,0,PINK
HS200118-025,0,2,2,PINK
HS200118-027,0,1,1,PINK
HS200118-028,0,1,1,PINK
HS200118-029,0,3,3,PINK
HS200118-030,0,0,0,PINK
HS200118-031,0,0,0,PINK
HS200118-032,0,0,0,PINK
HS200118-033,0,0,0,PINK
HS200118-034,0,0,0,PINK
HS200118-035,0,1,1,PINK
HS200118-036,0,5,5,PINK
HS200118-037,0,0,0,PINK
HS200118-038,0,0,0,PINK
HS200118-042,0,2,2,PINK
HS200118-044,0,0,0,PINK
HS200118-045,0,0,0,PINK
HS200118-048,0,0,0,PINK
HS200118-049,0,0,0,PINK
HS200118-050,0,0,0,PINK
HS200118-051,0,0,0,PINK
HS200118-054,0,2,2,PINK
HS200118-055,0,1,1,PINK
HS200118-057,0,0,0,PINK
HS200118-058,0,39,39,PINK
HS200118-059,0,2,2,PINK
HS200118-060,0,0,0,PINK
HS200118-061,0,0,0,PINK
HS200118-062,0,0,0,PINK
HS200118-063,0,0,0,PINK
HS200118-064,0,0,0,PINK
HS200118-065,0,2,2,PINK
HS200118-066,0,0,0,PINK
HS200118-067,0,0,0,PINK
HS200118-068,0,0,0,PINK
HS200118-069,0,0,0,PINK
HS200118-070,0,0,0,PINK
HS200118-071,0,0,0,PINK
HS200118-072,0,0,0,PINK
HS200118-073,0,0,0,PINK
HS200118-074,0,0,0,PINK
HS200118-075,0,0,0,PINK
HS200118-076,0,0,0,PINK
HS200118-077,0,0,0,PINK
HS200118-078,0,0,0,PINK
HS200118-079,0,0,0,PINK
HS200118-080,0,0,0,PINK
HS200118-081,0,0,0,PINK
HS200118-082,0,0,0,PINK
HS200118-083,0,0,0,PINK
HS200118-085,51,7,58,PINK
HS200118-086,2160,0,2160,PINK
HS200118-087,80,0,80,PINK
HS200118-088,390,3,393,PINK
HS200118-089,640,0,640,PINK
HS200118-091,771,13,784,PINK
HS200118-092,105,8,113,PINK
HS200118-093,5,0,5,PINK
HS200118-094,0,3,3,PINK
HS200118-095,100,0,100,PINK
HS200118-096,45,0,45,PINK
HS200118-097,42,0,42,PINK
HS200118-099,0,0,0,PINK
HS200118-100,36,2,38,PINK
HS200118-101,32,0,32,PINK
HS200118-102,2,0,2,PINK
HS200118-103,29,2,31,PINK
HS200118-104,4,0,4,PINK
HS200118-105,770,4,774,PINK
HS200118-106,9,3,12,PINK
HS200118-107,0,0,0,PINK
HS200118-108,9,0,9,PINK
HS200136-B01,0,0,0,PINK
HS200136-B02,0,0,0,PINK
HS200136-B03,0,0,0,PINK
HS200136-B04,0,0,0,PINK
HS200136-B05,0,0,0,PINK
HS200136-B06,0,0,0,PINK
HS200136-B07,0,0,0,PINK
HS200136-B08,0,0,0,PINK
HS200136-B09,0,0,0,PINK
HS200136-B10,0,0,0,PINK
HS200136-B11,0,0,0,PINK
HS200136-BUR01,3,0,3,PINK
HS200136-BUR02,0,0,0,PINK
HS200136-DE01,41,0,41,PINK
HS200136-DE02,7,0,7,PINK
HS200136-DE03,21,0,21,PINK
HS200136-DE04,10,0,10,PINK
HS200136-DE05,21,0,21,PINK
HS200136-DE06,10,0,10,PINK
HS200136-EP02,0,0,0,PINK
HS200136-EP03,0,0,0,PINK
HS200136-EP04,0,0,0,PINK
HS200136-EP05,0,0,0,PINK
HS200136-H01,2,0,2,PINK
HS200136-H02,0,0,0,PINK
HS200136-H03,23,0,23,PINK
HS200136-H04,6,0,6,PINK
HS200136-H05,71,0,71,PINK
HS200136-H07,5,0,5,PINK
HS200136-HS01,181,0,181,PINK
HS200136-HS02,31,0,31,PINK
HS200136-HS03,51,0,51,PINK
HS200136-HS04,51,0,51,PINK
HS200136-HS05,4,0,4,PINK
HS200136-HS06,8,0,8,PINK
HS200136-HS07,12,0,12,PINK
HS200136-IBC01,3,0,3,PINK
HS200136-IBC02,2,0,2,PINK
HS200136-IBC03,0,0,0,PINK
HS200136-IBC04,0,0,0,PINK
HS200136-IBC05,0,0,0,PINK
HS200136-IBC06,0,0,0,PINK
HS200136-IBC07,0,0,0,PINK
HS200136-IBC08,0,0,0,PINK
HS200136-IBC09,0,0,0,PINK
HS200136-IBC10,0,0,0,PINK
HS200136-IBC11,0,0,0,PINK
HS200136-IBC12,0,0,0,PINK
HS200136-IBC13,0,0,0,PINK
HS200136-IBC14,0,0,0,PINK
HS200136-IBC15,4,0,4,PINK
HS200136-IBC16,1,0,1,PINK
HS200136-IBC17,5,0,5,PINK
HS200136-IBC18,5,0,5,PINK
HS200136-IBC19,36,0,36,PINK
HS200136-IBC20,3,0,3,PINK
HS200136-IBC21,0,0,0,PINK
HS200136-IBC22,0,0,0,PINK
HS200136-IBC23,0,0,0,PINK
HS200136-IBC24,0,0,0,PINK
HS200136-IBC25,0,0,0,PINK
HS200136-IBC26,0,0,0,PINK
HS200136-IBC27,0,0,0,PINK
HS200136-IBC28,0,0,0,PINK
HS200136-ISEA01,9,0,9,PINK
HS200136-ISEA02,16,0,16,PINK
HS200136-ISEA03,25,0,25,PINK
HS200136-ISEA04,31,0,31,PINK
HS200136-ISEA05,12,0,12,PINK
HS200136-ISEA06,24,0,24,PINK
HS200136-ISEA07,46,0,46,PINK
HS200136-ISEA08,9,0,9,PINK
HS200136-ISEA09,16,0,16,PINK
HS200136-ISEA10,14,0,14,PINK
HS200136-ISEA11,0,0,0,PINK
HS200136-ISEA12,0,0,0,PINK
HS200136-ISEA13,6,0,6,PINK
HS200136-ISEA14,1,0,1,PINK
HS200136-ISEA15,7,0,7,PINK
HS200136-ISEA16,3,0,3,PINK
HS200136-ISEA17,35,0,35,PINK
HS200136-ISEA18,19,0,19,PINK
HS200136-ISEA19,2,0,2,PINK
HS200136-ISEA20,11,0,11,PINK
HS200136-ISEA21,10,0,10,PINK
HS200136-ISEA22,26,0,26,PINK
HS200136-ISEA23,2,0,2,PINK
HS200136-ISEA24,7,0,7,PINK
HS200136-ISEA25,337,0,337,PINK
HS200136-ISEA26,66,0,66,PINK
HS200136-ISEA27,24,0,24,PINK
HS200136-ISEA28,12,0,12,PINK
HS200136-ISEA29,0,0,0,PINK
HS200136-ISEA30,0,0,0,PINK
HS200136-ISEA31,13,0,13,PINK
HS200136-ISEA32,51,0,51,PINK
HS200136-ISEA33,10,0,10,PINK
HS200136-ISEA34,11,0,11,PINK
HS200136-ISEA35,11,0,11,PINK
HS200136-ISEA36,1,0,1,PINK
HS200136-ISEA37,12,0,12,PINK
HS200136-ISEA38,20,0,20,PINK
HS200136-ISEA39,17,0,17,PINK
HS200136-ISEA40,144,0,144,PINK
HS200136-ISEA41,5,0,5,PINK
HS200136-ISEA42,2,0,2,PINK
HS200136-ISEA43,60,0,60,PINK
HS200136-ISEA44,10,0,10,PINK
HS200136-LP01,0,0,0,PINK
HS200136-LP02,0,0,0,PINK
HS200136-LP03,0,0,0,PINK
HS200136-QCST01,4,0,4,PINK
HS200136-QCST02,69,0,69,PINK
HS200136-QCST03,19,0,19,PINK
HS200136-QCST04,3,0,3,PINK
HS200136-RI01,0,0,0,PINK
HS200136-RI02,0,0,0,PINK
HS200136-RI03,0,0,0,PINK
HS200136-RI04,0,0,0,PINK
HS200136-RI05,0,0,0,PINK
HS200136-SEA01,2,0,2,PINK
HS200136-SEA02,0,0,0,PINK
HS200136-SEA03,1,0,1,PINK
HS200136-SEA04,23,0,23,PINK
HS200136-VI01,0,0,0,PINK
HS200136-VI02,0,0,0,PINK
HS200136-VI03,0,0,0,PINK
HS200136-VI04,0,0,0,PINK
HS200136-VI05,0,0,0,PINK
HS200136-VI06,0,0,0,PINK
HS200136-VI07,0,0,0,PINK
HS200136-VI08,0,0,0,PINK
HS200136-VI09,0,0,0,PINK
HS200136-VI11,0,0,0,PINK
HS200136-VI12,0,0,0,PINK
HS200136-VI13,0,0,0,PINK
HS200136-VI14,0,0,0,PINK
HS200136-VI15,0,0,0,PINK
HS200136-VI16,0,0,0,PINK
HS200136-VI17,0,0,0,PINK
HS200136-VI18,0,0,0,PINK
HS200136-VI19,11,0,11,PINK
HS200136-VI20,19,0,19,PINK
HS200136-VI21,18,0,18,PINK
HS200136-VI22,30,0,30,PINK
HS200205-B01,0,0,0,PINK
HS200205-B02,0,0,0,PINK
HS200205-B03,0,0,0,PINK
HS200205-B04,0,0,0,PINK
HS200205-B05,0,0,0,PINK
HS200205-B06,0,0,0,PINK
HS200205-B07,0,0,0,PINK
HS200205-B08,0,0,0,PINK
HS200205-B09,0,0,0,PINK
HS200205-DE01,0,0,0,PINK
HS200205-DE02,0,0,0,PINK
HS200205-DE03,0,0,0,PINK
HS200205-DE04,0,0,0,PINK
HS200205-EP01,0,0,0,PINK
HS200205-EP02,0,0,0,PINK
HS200205-EP03,0,0,0,PINK
HS200205-EP04,0,0,0,PINK
HS200205-EP05,0,0,0,PINK
HS200205-EP06,0,0,0,PINK
HS200205-EP07,0,0,0,PINK
HS200205-EP08,0,0,0,PINK
HS200205-EP09,0,0,0,PINK
HS200205-EP10,0,0,0,PINK
HS200205-EP11,0,0,0,PINK
HS200205-EP12,0,0,0,PINK
HS200205-H01,0,0,0,PINK
HS200205-H02,0,0,0,PINK
HS200205-H03,0,0,0,PINK
HS200205-H04,0,0,0,PINK
HS200205-H05,0,0,0,PINK
HS200205-HS01,0,0,0,PINK
HS200205-HS02,0,0,0,PINK
HS200205-HS03,0,0,0,PINK
HS200205-HS04,0,0,0,PINK
HS200205-IBC01,0,0,0,PINK
HS200205-ISEA01,0,0,0,PINK
HS200205-ISEA02,0,0,0,PINK
HS200205-ISEA03,0,0,0,PINK
HS200205-ISEA04,0,0,0,PINK
HS200205-ISEA05,0,0,0,PINK
HS200205-ISEA06,0,0,0,PINK
HS200205-ISEA07,0,0,0,PINK
HS200205-ISEA08,0,0,0,PINK
HS200205-ISEA09,0,0,0,PINK
HS200205-ISEA10,0,0,0,PINK
HS200205-ISEA11,0,0,0,PINK
HS200205-ISEA12,0,0,0,PINK
HS200205-ISEA13,0,0,0,PINK
HS200205-ISEA14,0,0,0,PINK
HS200205-ISEA15,0,0,0,PINK
HS200205-ISEA16,0,0,0,PINK
HS200205-ISEA17,0,0,0,PINK
HS200205-ISEA18,0,0,0,PINK
HS200205-ISEA19,0,0,0,PINK
HS200205-IVI01,0,0,0,PINK
HS200205-IVI02,0,0,0,PINK
HS200205-IVI03,0,0,0,PINK
HS200205-IVI04,0,0,0,PINK
HS200205-IVI05,0,0,0,PINK
HS200205-IVI06,0,0,0,PINK
HS200205-IVI07,0,0,0,PINK
HS200205-IVI08,0,0,0,PINK
HS200205-IVI09,0,0,0,PINK
HS200205-JF01,1,0,1,PINK
HS200205-JF02,0,0,0,PINK
HS200205-JS01,0,0,0,PINK
