UNIQUE_EVENT,n_JUV,n_AD,n_TOTAL
HS200034-K03,0,0,0
HS200034-K04,0,0,0
HS200034-K05,0,0,0
HS200034-K06,0,0,0
HS200034-LP01,5,1,6
HS200034-LP02,0,0,0
HS200034-LP03,0,1,1
HS200034-NI01,0,0,0
HS200034-NI02,0,0,0
HS200034-NI03,0,0,0
HS200034-NI04,0,0,0
HS200034-NI05,0,0,0
HS200034-NI06,0,0,0
HS200034-NI07,0,0,0
HS200034-NI08,0,0,0
HS200034-NI09,0,0,0
HS200034-NI10,0,0,0
HS200034-NI11,0,0,0
HS200034-RI01,9,0,9
HS200034-T01,0,0,0
HS200034-T02,0,0,0
HS200034-T03,0,0,0
HS200034-T04,0,0,0
HS200034-T05,0,0,0
HS200034-T06,0,0,0
HS200034-T07,0,0,0
HS200034-T08,0,0,0
HS200034-T09,0,0,0
HS200034-T11,0,0,0
HS200034-T12,0,0,0
HS200034-T13,0,0,0
HS200034-T14,0,0,0
HS200034-T15,0,0,0
HS200034-X01,0,0,0
HS200034-X02,0,0,0
HS200034-X03,0,0,0
HS200034-X04,0,0,0
HS200034-X05,0,0,0
HS200034-X06,0,0,0
HS200034-X07,0,0,0
HS200034-X08,0,0,0
HS200034-X09,0,0,0
HS200034-X10,0,0,0
HS200034-X11,4,0,4
HS200034-X12,0,0,0
HS200034-X13,0,0,0
HS200034-X14,0,2,2
HS200034-X15,0,0,0
HS200034-X16,0,0,0
HS200034-X17,0,0,0
HS200034-X18,0,0,0
HS200034-X19,0,0,0
HS200034-X20,0,0,0
HS200034-X21,0,0,0
HS200034-X22,5,1,6
HS200034-X23,2,0,2
HS200034-X24,1,0,1
HS200034-X25,2,0,2
HS200034-X26,8,1,9
HS200034-X27,100,0,100
HS200034-X28,0,0,0
HS200034-X29,0,0,0
HS200034-X30,5,0,5
HS200034-X31,42,0,42
HS200034-X32,34,2,36
HS200034-X33,9,2,11
HS200034-X34,4,0,4
HS200034-X35,2,0,2
HS200034-X36,0,0,0
HS200034-X37,2,0,2
HS200034-X38,1,0,1
HS200034-X39,0,0,0
HS200034-X40,1,0,1
HS200034-X41,0,0,0
HS200034-X42,2,0,2
HS200034-X43,3,0,3
HS200034-X44,1,0,1
HS200034-X45,1,0,1
HS200034-X46,0,0,0
HS200034-X47,2,0,2
HS200034-X48,0,0,0
HS200034-X49,8,0,8
HS200034-X50,0,0,0
HS200034-X51,3,0,3
HS200034-X52,5,0,5
HS200034-X53,4,0,4
HS200034-X54,1,0,1
HS200034-X55,0,0,0
HS200109-X01,1,0,1
HS200109-X02,0,0,0
HS200109-X03,0,0,0
HS200109-X04,0,0,0
HS200109-X05,54,2,56
HS200109-X06,32,9,41
HS200109-X07,69,3,72
HS200109-X08,27,2,29
HS200109-X09,12,1,13
HS200109-X10,7,2,9
HS200109-X11,0,0,0
HS200109-X12,0,0,0
HS200109-X13,15,1,16
HS200109-X14,22,8,30
HS200109-X15,26,21,47
HS200109-X16,120,9,129
HS200109-X17,28,0,28
HS200109-X18,1,1,2
HS200109-X19,0,0,0
HS200109-X20,18,2,20
HS200109-X21,26,0,26
HS200109-X22,5,0,5
HS200109-X23,1,0,1
