UNIQUE_EVENT,n_JUV,n_AD,n_TOTAL
HS200304-ISEA03,0,0,0
HS200304-IVI01,0,0,0
HS200304-IVI03,0,0,0
HS200304-IVI04,23,2,25
HS200304-IVI05,0,0,0
HS200304-IVI06,0,0,0
HS200304-IVI07,3,0,3
HS200304-IVI08,6,0,6
HS200304-IVI09,0,0,0
HS200304-IVI10,2,0,2
HS200304-IVI11,0,0,0
HS200304-IVI12,0,0,0
HS200304-IVI13,68,0,68
HS200304-IVI14,16,0,16
HS200304-IVI15,18,0,18
HS200304-IVI16,5,0,5
HS200304-T01,0,0,0
HS200304-T02,0,1,1
HS200304-T03,0,0,0
HS200304-T04,0,0,0
HS200304-T05,0,0,0
HS200304-T06,0,0,0
HS200304-T07,0,0,0
HS200304-T08,0,0,0
HS200304-T09,0,0,0
HS200304-T10,0,0,0
HS200304-T11,0,0,0
HS200304-T12,0,0,0
HS200304-VI01,1,0,1
HS200304-VI02,2,0,2
HS200304-VI03,1,0,1
HS200304-VI04,0,0,0
HS200304-VI05,0,0,0
HS200313-EP02,4,2,6
HS200313-EP03,13,6,19
HS200313-EP04,2,6,8
HS200313-EP05,3,16,19
HS200313-EP06,3,22,25
HS200313-EP07,0,8,8
HS200313-EP08,0,3,3
HS200313-EP09,0,2,2
HS200313-EP10,0,0,0
HS200313-EP11,0,0,0
HS200313-EP12,0,0,0
HS200313-IVI01,0,1,1
HS200313-IVI02,0,2,2
HS200313-IVI03,1,2,3
HS200313-IVI04,2,3,5
HS200313-VI01,0,0,0
HS200313-VI02,1,0,1
HS200313-VI03,2,0,2
HS200313-VI04,11,12,23
HS200313-VI05,0,2,2
HS200316-109-1,7,0,7
HS200316-109-2,21,0,21
HS200316-109-3,6,0,6
HS200316-109-4,0,0,0
HS200316-109-8,0,0,0
HS200336-DE01,0,0,0
HS200336-DE02,0,0,0
HS200336-DE03,0,0,0
HS200336-DE04,0,0,0
HS200336-DE05,0,0,0
HS200336-DE06,0,0,0
HS200336-DE07,0,0,0
HS200336-DE08,0,0,0
HS200336-FI01,1,0,1
HS200336-FI02,0,0,0
HS200336-FI03,0,0,0
HS200336-FI05,0,0,0
HS200336-FI06,0,0,0
HS200336-FI07,0,0,0
HS200336-HS01,0,0,0
HS200336-HS02,0,0,0
HS200336-HS03,0,0,0
HS200336-IBC01,0,0,0
HS200336-IBC02,5,0,5
HS200336-IBC03,109,10,119
HS200336-IBC04,0,0,0
HS200336-IBC05,0,0,0
HS200336-IBC06,0,0,0
HS200336-IBC07,1,0,1
HS200336-IBC08,2,0,2
HS200336-IBC09,1,2,3
HS200336-IBC10,0,0,0
HS200336-IBC11,3,0,3
HS200336-IBC12,0,0,0
HS200336-IBC13,0,0,0
HS200336-IBC14,0,3,3
HS200336-IBC15,1,1,2
HS200336-IBC16,0,0,0
HS200336-IBC17,0,0,0
HS200336-IBC18,0,0,0
HS200336-IBC19,0,0,0
HS200336-ISEA01,0,0,0
HS200336-ISEA02,0,0,0
HS200336-ISEA03,0,0,0
HS200336-ISEA04,3,0,3
HS200336-ISEA05,2,0,2
HS200336-ISEA06,2,0,2
HS200336-ISEA07,8,0,8
HS200336-ISEA08,6,0,6
HS200336-ISEA09,0,0,0
HS200336-ISEA10,2,0,2
HS200336-ISEA11,1,0,1
HS200336-ISEA12,2,0,2
HS200336-ISEA13,4,7,11
HS200336-ISEA14,0,2,2
HS200336-ISEA15,3,0,3
HS200336-ISEA16,0,0,0
HS200336-ISEA17,0,0,0
HS200336-ISEA18,0,0,0
HS200336-ISEA19,0,0,0
HS200336-ISEA20,0,0,0
HS200336-ISEA21,0,0,0
HS200336-ISEA22,0,0,0
HS200336-ISEA23,0,0,0
HS200336-ISEA24,0,0,0
HS200336-ISEA25,0,0,0
HS200336-IVI01,1,0,1
HS200336-IVI02,16,0,16
HS200336-IVI03,4,0,4
HS200336-IVI04,0,0,0
HS200336-IVI05,4,0,4
HS200336-IVI06,16,0,16
HS200336-IVI08,5,0,5
HS200336-IVI09,76,0,76
HS200336-IVI10,6,0,6
HS200336-IVI11,4,0,4
HS200336-IVI12,1,0,1
HS200336-IVI13,0,0,0
HS200336-IVI14,5,0,5
HS200336-IVI15,2,0,2
HS200336-IVI16,2,0,2
HS200336-IVI17,11,2,13
HS200336-IVI18,35,0,35
HS200336-IVI19,10,0,10
HS200336-IVI20,5,0,5
HS200336-T01,0,0,0
HS200336-T02,0,0,0
HS200336-T03,0,0,0
HS200336-T04,0,0,0
HS200336-T05,0,0,0
HS200336-T06,0,0,0
HS200336-T07,0,0,0
HS200336-VI01,20,3,23
HS200336-VI02,1,0,1
HS200336-VI04,1,0,1
HS200336-VI05,0,0,0
HS200336-VI06,0,1,1
HS200336-VI07,0,0,0
HS200403-DE01,3,0,3
HS200403-DE02,0,0,0
HS200403-DE03,0,0,0
HS200403-DE04,0,0,0
HS200403-DE05,0,0,0
HS200403-DE06,0,0,0
HS200403-EP01,15,0,15
HS200403-EP02,3,0,3
HS200403-EP03,1,0,1
HS200403-EP04,7,0,7
HS200403-EP05,1,0,1
HS200403-EP06,0,0,0
HS200403-FI01,0,0,0
HS200403-FI02,0,0,0
HS200403-FI03,0,0,0
HS200403-FI04,0,0,0
HS200403-ISEA01,0,1,1
HS200403-ISEA02,0,0,0
HS200403-ISEA03,0,0,0
HS200403-ISEA04,0,0,0
HS200403-ISEA05,0,0,0
HS200403-ISEA06,1,0,1
HS200403-ISEA07,29,0,29
HS200403-ISEA08,33,1,34
HS200403-ISEA09,25,1,26
HS200403-ISEA10,1,0,1
HS200403-ISEA11,0,1,1
HS200403-ISEA12,3,0,3
HS200403-ISEA13,0,0,0
HS200403-ISEA14,5,0,5
HS200403-ISEA15,0,0,0
HS200403-IVI01,1,1,2
HS200403-IVI02,0,0,0
HS200403-IVI03,0,0,0
HS200403-IVI04,3,0,3
HS200403-IVI05,0,0,0
HS200403-IVI06,0,0,0
HS200403-IVI07,0,0,0
HS200403-IVI08,1,0,1
HS200403-IVI09,0,0,0
HS200403-IVI10,2,0,2
HS200403-IVI11,39,0,39
HS200403-IVI12,3,0,3
HS200403-IVI13,0,0,0
HS200403-IVI14,13,1,14
HS200403-IVI15,11,0,11
HS200403-SEA01,0,1,1
HS200403-SEA02,0,0,0
HS200403-SEA03,0,1,1
HS200403-SEA04,0,0,0
HS200403-T01,0,0,0
HS200403-T02,0,0,0
HS200403-T03,0,0,0
HS200403-T04,0,0,0
HS200403-T05,0,0,0
HS200403-T06,0,0,0
HS200403-T07,0,0,0
HS200403-VI01,9,0,9
HS200403-VI02,2,0,2
HS200403-VI03,2,0,2
HS200403-VI04,3,0,3
HS200403-VI05,19,3,22
HS200403-VI06,3,0,3
HS200417-DE01,1,0,1
HS200417-DE02,0,1,1
HS200417-DE03,0,0,0
HS200417-DE04,0,2,2
HS200417-DE05,0,0,0
HS200417-DE06,0,1,1
HS200417-EP01,5,0,5
HS200417-EP02,5,6,11
HS200417-EP03,7,7,14
HS200417-EP04,0,3,3
HS200417-EP05,0,7,7
HS200417-EP06,0,0,0
HS200417-FI01,0,0,0
HS200417-FI02,1,0,1
HS200417-FI03,2,0,2
HS200417-FI04,1,0,1
HS200417-FI05,1,1,2
HS200417-FI06,1,0,1
HS200417-FI07,0,0,0
HS200417-H01,0,1,1
HS200417-H02,8,0,8
HS200417-H03,0,0,0
HS200417-H04,2,0,2
HS200417-H05,2,0,2
HS200417-IVI01,690,6,696
HS200417-IVI02,2476,5,2481
HS200417-IVI03,305,0,305
HS200417-IVI04,14,9,23
HS200417-IVI05,4,21,25
HS200417-IVI06,0,1,1
HS200417-IVI07,1,0,1
HS200417-IVI09,1,1,2
HS200417-IVI10,14,2,16
HS200417-T01,0,0,0
HS200417-T02,0,1,1
HS200417-T03,0,1,1
HS200417-T04,0,0,0
HS200417-T05,0,2,2
HS200417-T06,2,0,2
HS200417-T07,1,0,1
HS200417-VI01,3,36,39
HS200417-VI03,0,1,1
HS200417-VI04,0,0,0
HS200417-VI05,2,0,2
HS200432-DE01,23,3,26
HS200432-DE02,0,0,0
HS200432-DE03,0,0,0
HS200432-DE04,0,0,0
HS200432-DE05,0,0,0
HS200432-DE06,3,0,3
HS200432-FI01,0,0,0
HS200432-FI02,0,0,0
HS200432-FI03,0,0,0
HS200432-GS01,3,0,3
HS200432-GS02,1,0,1
HS200432-GS03,0,0,0
HS200432-GS04,2,0,2
HS200432-GS05,0,0,0
HS200432-GS06,0,0,0
HS200432-GS07,0,0,0
HS200432-H01,0,0,0
HS200432-H02,0,0,0
HS200432-H03,0,0,0
HS200432-H04,0,0,0
HS200432-H05,0,0,0
HS200432-H06,0,0,0
HS200432-H07,0,0,0
HS200432-HS01,0,0,0
HS200432-IBC01,23,0,23
HS200432-IBC02,0,0,0
HS200432-IBC03,0,0,0
HS200432-IBC04,0,0,0
HS200432-IBC05,0,0,0
HS200432-IBC06,1,0,1
HS200432-IBC07,4,0,4
HS200432-ISEA01,3,0,3
HS200432-ISEA02,29,0,29
HS200432-ISEA03,35,0,35
HS200432-ISEA04,42,1,43
HS200432-ISEA05,9,0,9
HS200432-ISEA06,39,0,39
HS200432-ISEA07,19,2,21
HS200432-ISEA08,0,0,0
HS200432-ISEA09,0,0,0
HS200432-ISEA10,0,0,0
HS200432-ISEA11,0,0,0
HS200432-ISEA12,0,0,0
HS200432-ISEA13,0,0,0
HS200432-ISEA14,1,0,1
HS200432-ISEA15,0,0,0
HS200432-ISEA16,0,0,0
HS200432-ISEA17,0,0,0
HS200432-ISEA18,0,0,0
HS200432-ISEA19,0,0,0
HS200432-ISEA20,0,0,0
HS200432-ISEA21,3,0,3
HS200432-ISEA22,0,0,0
HS200432-ISEA23,0,0,0
HS200432-ISEA24,2,0,2
HS200432-ISEA25,1,0,1
HS200432-ISEA26,0,0,0
HS200432-ISEA27,0,0,0
HS200432-ISEA28,1,0,1
HS200432-ISEA29,0,0,0
HS200432-ISEA30,0,0,0
HS200432-ISEA31,0,0,0
HS200432-ISEA32,0,0,0
HS200432-ISEA33,0,0,0
HS200432-ISEA34,0,0,0
HS200432-ISEA35,0,0,0
HS200432-ISEA36,3,0,3
HS200432-ISEA37,18,0,18
HS200432-ISEA38,3,0,3
HS200432-ISEA39,1,1,2
HS200432-ISEA40,21,0,21
HS200432-ISEA41,10,1,11
HS200432-ISEA43,6,0,6
HS200432-ISEA44,0,0,0
HS200432-ISEA45,0,0,0
HS200432-ISEA46,0,0,0
HS200432-ISEA47,0,0,0
HS200432-ISEA48,0,0,0
HS200432-ISEA49,1,0,1
HS200432-ISEA50,1,0,1
HS200432-IVI01,5,0,5
HS200432-IVI02,6,0,6
HS200432-IVI03,1,0,1
HS200432-IVI04,56,0,56
HS200432-IVI05,78,0,78
HS200432-IVI06,1,0,1
HS200432-IVI07,6,0,6
HS200432-IVI08,33,0,33
HS200432-IVI09,11,0,11
HS200432-IVI10,2,0,2
HS200432-IVI11,1,0,1
HS200432-IVI12,3,9,12
HS200432-IVI13,28,0,28
HS200432-IVI14,24,0,24
HS200432-IVI15,2,0,2
HS200432-IVI16,1,0,1
HS200432-QCSD01,0,0,0
HS200432-T01,0,0,0
HS200432-T02,0,0,0
HS200432-T03,0,0,0
HS200432-T04,0,0,0
HS200432-T05,0,0,0
HS200432-T06,0,0,0
HS200432-T07,0,0,0
HS200432-T08,0,0,0
HS200432-T09,0,0,0
HS200432-VI01,0,0,0
HS200432-VI02,0,1,1
HS200432-VI03,0,1,1
HS200432-VI04,1,0,1
HS200432-VI05,0,0,0
HS200432-VI06,0,0,0
HS200432-VI07,0,0,0
HS200432-VI08,0,0,0
HS200432-VI09,0,0,0
HS200432-VI11,0,0,0
HS200432-VI12,0,0,0
HS200432-VI13,0,0,0
HS200432-VI14,1,0,1
HS200432-VI15,0,0,0
HS200432-VI16,0,0,0
HS200432-VI17,2,0,2
HS200432-VI18,18,0,18
HS200432-VI19,1,0,1
HS200432-VI20,0,0,0
HS200432-VI21,0,0,0
HS200503-DE01,0,0,0
HS200503-DE02,1,0,1
HS200503-DE03,0,1,1
HS200503-DE04,0,0,0
HS200503-DE05,0,0,0
HS200503-DE06,0,0,0
HS200503-EP01,5,0,5
HS200503-EP02,20,1,21
HS200503-EP03,3,0,3
HS200503-EP04,0,1,1
HS200503-FI01,0,1,1
HS200503-FI02,0,0,0
HS200503-FI03,0,0,0
HS200503-FI04,0,0,0
HS200503-FI05,0,0,0
HS200503-FI06,0,0,0
HS200503-FI07,0,1,1
HS200503-FI08,0,0,0
HS200503-H02,2,0,2
HS200503-H04,0,0,0
HS200503-H05,0,0,0
HS200503-H06,0,0,0
HS200503-H07,0,0,0
HS200503-H08,0,0,0
HS200503-IBC01,0,0,0
HS200503-IBC02,0,1,1
HS200503-IBC03,1,0,1
HS200503-IBC04,0,0,0
HS200503-IBC05,0,0,0
HS200503-IBC06,3,0,3
HS200503-IBC07,0,0,0
HS200503-IBC08,1,0,1
HS200503-IBC09,0,0,0
HS200503-IBC10,0,0,0
HS200503-IBC11,0,0,0
HS200503-IBC12,0,0,0
HS200503-IBC13,0,0,0
HS200503-IBC14,0,0,0
HS200503-IBC15,0,0,0
HS200503-IBC16,1,0,1
HS200503-IBC17,0,0,0
HS200503-IBC18,0,0,0
HS200503-IBC19,5,0,5
HS200503-IBC20,0,0,0
HS200503-IBC21,1,0,1
HS200503-IBC22,0,0,0
HS200503-IBC24,0,0,0
HS200503-IBC25,0,0,0
HS200503-IBC26,0,0,0
HS200503-ISEA01,0,0,0
HS200503-ISEA02,0,0,0
HS200503-ISEA03,0,0,0
HS200503-ISEA04,1,0,1
HS200503-ISEA05,9,0,9
HS200503-ISEA06,3,0,3
HS200503-ISEA07,9,0,9
HS200503-ISEA08,5,0,5
HS200503-ISEA09,1,0,1
HS200503-ISEA10,17,0,17
HS200503-ISEA11,20,0,20
HS200503-ISEA12,0,0,0
HS200503-ISEA13,1,0,1
HS200503-ISEA14,36,1,37
HS200503-ISEA15,6,0,6
HS200503-ISEA17,0,0,0
HS200503-ISEA18,0,0,0
HS200503-ISEA19,0,0,0
HS200503-ISEA20,0,0,0
HS200503-ISEA21,0,0,0
HS200503-ISEA22,2,0,2
HS200503-ISEA23,0,0,0
HS200503-ISEA24,0,0,0
HS200503-ISEA25,0,0,0
HS200503-IVI01,19,4,23
HS200503-IVI02,19,8,27
HS200503-IVI03,12,8,20
HS200503-IVI04,35,0,35
HS200503-IVI05,7,0,7
HS200503-IVI06,41,1,42
HS200503-IVI07,25,0,25
HS200503-IVI08,18,0,18
HS200503-IVI09,34,0,34
HS200503-IVI10,78,1,79
HS200503-IVI11,32,0,32
HS200503-IVI12,41,0,41
HS200503-IVI13,1,0,1
HS200503-IVI14,4,0,4
HS200503-IVI15,2,0,2
HS200503-IVI16,7,0,7
HS200503-QCI01,0,0,0
HS200503-VI17,8,0,8
HS200503-VI18,4,1,5
HS200503-VI19,5,1,6
HS200503-VI20,7,0,7
HS200503-QCI02,0,0,0
HS200503-QCI03,0,0,0
HS200503-QCI05,0,0,0
HS200503-QCI06,0,0,0
HS200503-QCI07,0,0,0
HS200503-QCI08,0,0,0
HS200503-T01,0,0,0
HS200503-T02,0,0,0
HS200503-T03,0,0,0
HS200503-T04,1,0,1
HS200503-T05,0,0,0
HS200503-T06,1,0,1
HS200503-T07,0,0,0
HS200503-VI01,1,1,2
HS200503-VI02,0,0,0
HS200503-VI03,0,0,0
HS200503-VI04,0,0,0
HS200503-VI05,25,2,27
HS200503-VI06,19,1,20
HS200503-VI07,5,6,11
HS200503-VI08,3,0,3
HS200503-VI09,3,0,3
HS200503-VI10,0,0,0
HS200503-VI11,0,0,0
HS200503-VI12,0,0,0
HS200503-VI13,4,1,5
HS200503-VI14,22,1,23
HS200503-VI16,3,0,3
HS200517-DE01,0,0,0
HS200517-DE02,0,1,1
HS200517-DE03,0,0,0
HS200517-DE04,0,1,1
HS200517-DE05,0,0,0
HS200517-DE06,0,0,0
HS200517-EP01,0,4,4
HS200517-EP02,0,1,1
HS200517-EP03,1,0,1
HS200517-EP04,0,0,0
HS200517-EP05,0,0,0
HS200517-EP06,0,0,0
HS200517-EP07,0,0,0
HS200517-FI01,2,0,2
HS200517-FI02,1,1,2
HS200517-FI03,0,0,0
HS200517-FI04,0,0,0
HS200517-FI05,0,0,0
HS200517-FI06,1,0,1
HS200517-FI07,0,0,0
HS200517-H01,1,0,1
HS200517-H02,0,0,0
HS200517-H03,0,0,0
HS200517-H04,0,0,0
HS200517-H05,0,0,0
HS200517-H06,0,0,0
HS200517-T01,0,0,0
HS200517-T02,0,3,3
HS200517-VI01,2,1,3
HS200517-VI02,5,0,5
HS200517-VI03,0,0,0
HS200517-VI04,0,0,0
HS200517-VI05,0,8,8
HS200517-VI06,0,0,0
HS200517-VI07,0,0,0
HS200517-VI08,0,0,0
HS200517-VI09,0,5,5
HS200517-VI10,0,2,2
HS200517-VI11,0,6,6
HS200528-DE01,1,0,1
HS200528-DE02,0,0,0
HS200528-DE03,0,0,0
HS200528-DE04,0,0,0
HS200528-DE05,0,0,0
HS200528-DE06,0,0,0
HS200528-EP01,3,0,3
HS200528-EP02,3,0,3
HS200528-EP03,0,0,0
HS200528-EP04,0,0,0
HS200528-EP05,0,0,0
HS200528-EP06,0,0,0
HS200528-EP07,0,0,0
HS200528-FI01,0,0,0
HS200528-FI02,0,0,0
HS200528-FI03,0,0,0
HS200528-FI04,0,0,0
HS200528-H02,0,0,0
HS200528-H03,0,0,0
HS200528-H04,0,0,0
HS200528-H05,0,0,0
HS200528-H06,0,0,0
HS200528-IBC01,19,0,19
HS200528-IBC02,14,1,15
HS200528-IBC03,4,0,4
HS200528-IBC04,2,0,2
HS200528-IBC05,2,0,2
HS200528-IBC06,5,0,5
HS200528-IBC07,1,1,2
HS200528-IBC08,4,0,4
HS200528-IBC09,5,0,5
HS200528-IBC10,1,0,1
HS200528-IBC11,0,0,0
HS200528-IBC12,0,0,0
HS200528-IBC13,2,0,2
HS200528-IBC14,0,1,1
HS200528-IBC15,1,0,1
HS200528-IBC16,1,0,1
HS200528-IBC17,0,0,0
HS200528-IBC18,1,0,1
HS200528-IBC19,0,2,2
HS200528-IBC20,16,0,16
HS200528-IBC21,0,0,0
HS200528-IBC22,0,0,0
HS200528-IBC23,0,0,0
HS200528-IBC24,0,0,0
HS200528-IBC25,0,0,0
HS200528-IBC26,0,0,0
HS200528-IBC27,0,0,0
HS200528-IBC28,1,0,1
HS200528-IBC29,6,0,6
HS200528-IBC30,1,1,2
HS200528-IBC31,16,0,16
HS200528-IBC32,1,0,1
HS200528-IBC33,0,0,0
HS200528-IBC34,0,0,0
HS200528-IBC35,0,0,0
HS200528-IBC36,1,0,1
HS200528-ISEA01,0,0,0
HS200528-ISEA02,0,0,0
HS200528-ISEA03,6,0,6
HS200528-ISEA04,3,0,3
HS200528-ISEA05,0,0,0
HS200528-ISEA06,0,0,0
HS200528-ISEA07,0,0,0
HS200528-ISEA08,9,0,9
HS200528-ISEA09,52,1,53
HS200528-ISEA10,93,0,93
HS200528-ISEA11,36,1,37
HS200528-ISEA12,22,0,22
HS200528-ISEA13,16,0,16
HS200528-ISEA14,0,0,0
HS200528-ISEA15,4,0,4
HS200528-ISEA16,0,0,0
HS200528-ISEA17,0,0,0
HS200528-ISEA18,3,0,3
HS200528-ISEA19,0,1,1
HS200528-ISEA20,1,0,1
HS200528-ISEA21,0,0,0
HS200528-ISEA22,3,0,3
HS200528-ISEA23,16,0,16
HS200528-ISEA24,16,1,17
HS200528-ISEA25,1,0,1
HS200528-ISEA26,14,0,14
HS200528-ISEA27,0,0,0
HS200528-ISEA28,0,0,0
HS200528-IVI01,1,0,1
HS200528-IVI02,2,0,2
HS200528-IVI03,8,0,8
HS200528-IVI04,20,0,20
HS200528-IVI05,6,0,6
HS200528-IVI06,13,0,13
HS200528-IVI07,0,0,0
HS200528-IVI08,0,0,0
HS200528-IVI09,0,0,0
HS200528-IVI10,47,0,47
HS200528-IVI11,7,0,7
HS200528-IVI12,20,0,20
HS200528-IVI13,10,0,10
HS200528-IVI14,5,0,5
HS200528-IVI15,1,0,1
HS200528-IVI16,17,0,17
HS200528-IVI17,3,0,3
HS200528-IVI18,16,1,17
HS200528-IVI19,4,0,4
HS200528-IVI20,19,0,19
HS200528-IVI21,13,0,13
HS200528-IVI22,59,0,59
HS200528-IVI23,45,0,45
HS200528-IVI24,11,0,11
HS200528-IVI25,0,0,0
HS200528-IVI26,6,0,6
HS200528-IVI27,32,0,32
HS200528-IVI28,18,0,18
HS200528-IVI29,27,0,27
HS200528-IVI30,41,0,41
HS200528-IVI31,79,1,80
HS200528-IVI32,25,0,25
HS200528-IVI33,45,0,45
HS200528-IVI34,69,0,69
HS200528-IVI35,42,0,42
HS200528-T01,0,0,0
HS200528-T02,0,0,0
HS200528-T03,0,0,0
HS200528-T04,0,0,0
HS200528-T05,0,0,0
HS200528-T06,0,0,0
HS200528-VI01,0,0,0
HS200528-VI02,10,0,10
HS200528-VI03,13,0,13
HS200609-DE01,4,1,5
HS200609-DE02,1,0,1
HS200609-DE03,0,0,0
HS200609-DE04,0,0,0
HS200609-DE05,0,0,0
HS200609-DE06,0,0,0
HS200609-EP01,28,0,28
HS200609-EP02,8,1,9
HS200609-EP03,0,0,0
HS200609-EP04,0,0,0
HS200609-EP05,0,0,0
HS200609-EP06,0,0,0
HS200609-FI01,0,0,0
HS200609-FI02,0,0,0
HS200609-FI03,0,0,0
HS200609-FI04,0,0,0
HS200609-FI05,0,0,0
HS200609-FI06,0,0,0
HS200609-H01,0,0,0
HS200609-H02,0,0,0
HS200609-H03,1,0,1
HS200609-H04,0,0,0
HS200609-H05,0,0,0
HS200609-H06,0,0,0
HS200609-H07,0,0,0
HS200609-H08,0,0,0
HS200609-HS01,0,0,0
HS200609-HS02,0,0,0
HS200609-HS03,0,0,0
HS200609-HS04,0,0,0
HS200609-HS05,0,0,0
HS200609-HS06,0,0,0
HS200609-HS07,0,0,0
HS200609-HS08,0,0,0
HS200609-HS09,0,0,0
HS200609-HSS1,1,0,1
HS200609-HSS2,0,0,0
HS200609-IBC01,0,0,0
HS200609-IBC02,0,0,0
HS200609-IBC03,0,0,0
HS200609-IBC04,0,0,0
HS200609-IBC05,0,0,0
HS200609-IBC06,0,0,0
HS200609-IBC07,0,0,0
HS200609-IBC08,0,0,0
HS200609-IBC09,0,0,0
HS200609-IBC10,0,0,0
HS200609-IBC11,0,0,0
HS200609-IBC12,0,0,0
HS200609-IBC13,1,1,2
HS200609-IBC14,1,0,1
HS200609-ISEA01,0,2,2
HS200609-ISEA02,0,1,1
HS200609-ISEA03,0,0,0
HS200609-ISEA04,1,0,1
HS200609-ISEA05,0,0,0
HS200609-ISEA06,0,0,0
HS200609-ISEA07,1,0,1
HS200609-ISEA08,2,1,3
HS200609-ISEA09,17,1,18
HS200609-ISEA10,3,0,3
HS200609-ISEA11,0,2,2
HS200609-ISEA12,4,0,4
HS200609-ISEA13,4,1,5
HS200609-ISEA14,0,0,0
HS200609-ISEA15,0,0,0
HS200609-ISEA16,0,0,0
HS200609-ISEA17,0,0,0
HS200609-ISEA18,0,0,0
HS200609-ISEA19,0,0,0
HS200609-ISEA20,0,0,0
HS200609-ISEA21,0,0,0
HS200609-ISEA22,0,0,0
HS200609-ISEA23,0,0,0
HS200609-ISEA24,2,1,3
HS200609-ISEA25,0,0,0
HS200609-ISEA26,1,0,1
HS200609-ISEA27,0,0,0
HS200609-ISEA28,22,0,22
HS200609-ISEA29,4,1,5
HS200609-IVI01,3,1,4
HS200609-IVI02,6,1,7
HS200609-IVI03,6,6,12
HS200609-IVI04,0,0,0
HS200609-IVI05,1,3,4
HS200609-IVI06,24,0,24
HS200609-IVI07,42,0,42
HS200609-IVI08,3,0,3
HS200609-IVI09,20,0,20
HS200609-IVI10,10,2,12
HS200609-IVI11,3,3,6
HS200609-IVI12,3,0,3
HS200609-IVI13,1,0,1
HS200609-IVI14,8,10,18
HS200609-IVI15,4,0,4
HS200609-IVI16,2,0,2
HS200609-IVI17,9,0,9
HS200609-IVI18,4,0,4
HS200609-IVI19,5,0,5
HS200609-IVI20,2,0,2
HS200609-IVI21,1,0,1
HS200609-IVI22,1,0,1
HS200609-IVI23,0,0,0
HS200609-IVI24,0,0,0
HS200609-IVI25,1,0,1
HS200609-IVI26,2,0,2
HS200609-IVI27,22,0,22
HS200609-IVI28,9,3,12
HS200609-IVI29,15,1,16
HS200609-IVI30,0,0,0
HS200609-IVI31,0,0,0
HS200609-IVI32,9,1,10
HS200609-VI01,12,0,12
HS200609-VI02,14,2,16
HS200609-VI03,0,1,1
HS200609-VI04,4,1,5
HS200609-VI05,1,1,2
HS200609-VI06,5,0,5
HS200609-VI07,2,0,2
HS200609-VI08,2,2,4
HS200609-VI09,2,0,2
HS200609-VI10,2,0,2
HS200609-VI11,0,0,0
HS200609-VI12,4,0,4
HS200609-VI13,5,0,5
HS200609-VI14,0,1,1
HS200609-VI15,0,0,0
HS200609-VI16,0,0,0
HS200609-VI17,0,0,0
HS200609-VI18,0,0,0
HS200609-VI19,0,0,0
HS200609-VI20,0,0,0
HS200622-DX01,0,0,0
HS200622-DX02,2,30,32
HS200622-DX03,0,9,9
HS200622-DX04,0,1,1
HS200622-DX05,1,3,4
HS200622-DX06,0,0,0
HS200622-EP01,17,1,18
HS200622-EP02,21,3,24
HS200622-EP03,25,0,25
HS200622-EP04,0,0,0
HS200622-EP05,0,0,0
HS200622-FI01,6,0,6
HS200622-FI02,0,2,2
HS200622-FI03,0,2,2
HS200622-FI04,0,1,1
HS200622-FI05,0,0,0
HS200622-FI06,0,0,0
HS200622-FI07,0,0,0
HS200622-H01,1,0,1
HS200622-H02,0,0,0
HS200622-H03,0,0,0
HS200622-H04,0,0,0
HS200622-H05,0,0,0
HS200622-H06,0,0,0
HS200622-JF01,0,0,0
HS200622-JF02,0,0,0
HS200622-JF03,0,1,1
HS200622-JF04,1,0,1
HS200622-JF05,0,10,10
HS200622-QCI01,0,1,1
HS200622-QCI02,1,3,4
HS200622-QCI03,0,2,2
HS200622-QCI04,0,1,1
HS200622-QCI05,0,0,0
HS200622-QCI06,0,1,1
HS200622-QCI07,0,0,0
HS200622-QCI09,0,0,0
HS200622-QCI10,4,0,4
HS200622-QCI11,0,0,0
HS200622-QCI12,0,0,0
HS200622-SEA01,3,1,4
HS200622-T01,5,0,5
HS200622-T02,2,0,2
HS200622-T03,0,0,0
HS200622-T04,0,0,0
HS200622-T05,0,0,0
HS200622-T06,3,0,3
HS200622-T07,6,0,6
HS200622-VI01,0,15,15
HS200622-VI02,4,2,6
HS200622-VI03,0,3,3
HS200622-VI04,0,2,2
HS200622-VI05,1,0,1
HS200622-VI06,0,0,0
HS200622-VI08,1,5,6
HS200622-VI09,2,1,3
HS200622-VI10,0,0,0
HS200622-VI11,1,4,5
HS200622-VI12,4,1,5
HS200631-EP05,0,0,0
HS200631-FI01,1,1,2
HS200631-FI02,0,0,0
HS200631-FI03,0,0,0
HS200631-FI04,0,0,0
HS200631-FI05,0,0,0
HS200631-FI06,0,0,0
HS200631-FI07,0,0,0
HS200631-H01,0,0,0
HS200631-H02,0,0,0
HS200631-H03,0,0,0
HS200631-H04,0,0,0
HS200631-H05,0,0,0
HS200631-IBC01,1,0,1
HS200631-IBC02,1,0,1
HS200631-IBC03,1,0,1
HS200631-IBC04,0,0,0
HS200631-IBC05,0,0,0
HS200631-IBC06,19,0,19
HS200631-IBC07,2,0,2
HS200631-IBC08,0,0,0
HS200631-IBC09,0,0,0
HS200631-IBC10,0,0,0
HS200631-IBC11,0,0,0
HS200631-IBC12,0,0,0
HS200631-ISEA01,3,0,3
HS200631-ISEA02,0,0,0
HS200631-ISEA03,1,0,1
HS200631-ISEA04,0,0,0
