TRIP_ID,UNIQUE_EVENT,DATE,YEAR,MONTH,DAY,EVENT_TYPE,EVENT_CODE,USABLE,VESSEL_NAME,STRATUM,BLOCK,STATION_NAME,TOW_LENGTH_MINUTE,TOW_LENGTH_HOUR,DAY_NIGHT,START_LATITUDE,START_LONGITUDE,END_LATITUDE,END_LONGITUDE,DISTANCE_TRAVELLED,DISTANCE_UNITS,DFO_STAT_AREA_CODE,DFO_STAT_SUBAREA_CODE,VESSEL_SPEED,SPEED_UNITS,DIRECTION,START_BOTTOM_DEPTH,END_BOTTOM_DEPTH,NET_DESC,CODEND_MESH_SIZE,MOUTH_HEIGHT_USE,MOUTH_HEIGHT_SOURCE,MOUTH_WIDTH_USE,MOUTH_WIDTH_SOURCE,bath_depth_points_n,bath_DEPTH_mean_m,bath_DEPTH_med_m,bath_TRANSECT_dist_km,bath_DEPTH_START,bath_DEPTH_END,Dist_to_Coast_km,DISTANCE_KM,WIDTH_KM,HEIGHT_KM,MOUTH_KM2,VOLUME_KM3
201778,BCSI-201778-FH11,2017-10-02T00:00:00Z,2017,OCT,2,Midwater Trawl,6,Y,CFV SEACREST,NA,FH11,FH11,16,0.27,DAY,51.614,-127.757,51.612,-127.789,1.2,NM,9,12,4.4,KNOTS,264,182,209,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,9,117.3333333,108,2.347817283,171,149,0.730988332,2.22,0.03,0.012,3.60E-04,7.99E-04
201778,BCSI-201778-FH12,2017-10-02T00:00:00Z,2017,OCT,2,Midwater Trawl,6,Y,CFV SEACREST,NA,FH12,FH12,20,0.33,DAY,51.559,-127.829,51.541,-127.839,1.14,NM,9,12,3.4,KNOTS,199,190,176,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,6,176.5,174,2.472545252,185,172,2.670196071,2.11,0.03,0.012,3.60E-04,7.60E-04
201778,BCSI-201778-FH13,2017-10-02T00:00:00Z,2017,OCT,2,Midwater Trawl,6,Y,CFV SEACREST,NA,FH13,FH13,24,0.4,DAY,51.51,-127.878,51.479,-127.869,1.89,NM,9,1,4.7,KNOTS,170,152,133,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,9,140.4444444,147,3.751127369,152,119,0.942239691,3.5,0.03,0.012,3.60E-04,0.00126
201778,BCSI-201778-FH14,2017-10-02T00:00:00Z,2017,OCT,2,Midwater Trawl,6,Y,CFV SEACREST,NA,FH14,FH14,20,0.33,DAY,51.506,-127.779,51.517,-127.744,1.46,NM,9,1,4.4,KNOTS,63,137,178,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,9,137,134,2.693113917,118,137,1.285180051,2.7,0.03,0.012,3.60E-04,9.72E-04
201778,BCSI-201778-HP01,2017-10-01T00:00:00Z,2017,OCT,1,Midwater Trawl,6,Y,CFV SEACREST,NA,HP01,HP01,20,0.33,DAY,51.713,-128.074,51.722,-128.039,1.41,NM,8,2,4.2,KNOTS,67,332,156,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,9,256.3333333,275,2.476172629,293,188,0.974987597,2.61,0.03,0.012,3.60E-04,9.40E-04
201778,BCSI-201778-HP02,2017-10-01T00:00:00Z,2017,OCT,1,Midwater Trawl,6,Y,CFV SEACREST,NA,HP02,HP02,20,0.33,DAY,51.739,-128.001,51.745,-127.963,1.46,NM,8,2,4.4,KNOTS,76,193,390,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,10,330.8,382,2.623219386,202,380,1.22280606,2.7,0.03,0.012,3.60E-04,9.72E-04
201778,BCSI-201778-JS01,2017-10-08T00:00:00Z,2017,OCT,8,Midwater Trawl,6,Y,CFV SEACREST,NA,JS01,JS01,20,0.33,DAY,50.538,-126.694,50.525,-126.677,1.02,NM,12,3,3,KNOTS,140,500,475,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,5,467.2,466,2.195970889,459,446,1.347851198,1.89,0.03,0.012,3.60E-04,6.80E-04
201778,BCSI-201778-JS02,2017-10-08T00:00:00Z,2017,OCT,8,Midwater Trawl,6,Y,CFV SEACREST,NA,JS02,JS02,20,0.33,DAY,50.505,-126.489,50.498,-126.46,1.18,NM,12,3,3.5,KNOTS,111,389,395,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,8,389.375,390.5,2.261392137,391,392,1.485682357,2.19,0.03,0.012,3.60E-04,7.88E-04
201778,BCSI-201778-JS03,2017-10-08T00:00:00Z,2017,OCT,8,Midwater Trawl,6,Y,CFV SEACREST,NA,JS03,JS03,20,0.33,DAY,50.486,-126.327,50.484,-126.292,1.34,NM,12,2,4,KNOTS,95,367,352,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,9,341.6666667,349,2.358350226,312,350,0.878698784,2.48,0.03,0.012,3.60E-04,8.93E-04
201778,BCSI-201778-JS04,2017-10-08T00:00:00Z,2017,OCT,8,Midwater Trawl,6,Y,CFV SEACREST,NA,JS04,JS04,20,0.33,DAY,50.479,-126.117,50.476,-126.083,1.31,NM,12,1,3.9,KNOTS,98,230,259,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,10,256.6,245.5,2.653611842,306,215,0.925427725,2.43,0.03,0.012,3.60E-04,8.75E-04
201778,BCSI-201778-JS05,2017-10-08T00:00:00Z,2017,OCT,8,Midwater Trawl,6,Y,CFV SEACREST,NA,JS05,JS05,21,0.35,DAY,50.451,-126.042,50.437,-126.005,1.65,NM,12,1,4.7,KNOTS,121,150,210,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,10,166.8,171,3.238227742,151,202,1.783538356,3.06,0.03,0.012,3.60E-04,0.0011016
201778,BCSI-201778-JS06,2017-10-08T00:00:00Z,2017,OCT,8,Midwater Trawl,6,Y,CFV SEACREST,NA,JS06,JS06,18,0.3,DAY,50.367,-125.636,50.373,-125.6,1.43,NM,13,29,4.7,KNOTS,75,234,248,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,10,252.5,253,2.699626091,252,244,0.930130048,2.65,0.03,0.012,3.60E-04,9.54E-04
201778,BCSI-201778-QCSD01,2017-09-29T00:00:00Z,2017,SEP,29,Midwater Trawl,6,Y,CFV SEACREST,NA,QCSD01,QCSD01,20,0.33,DAY,50.981,-127.852,50.992,-127.883,1.35,NM,11,2,4,KNOTS,299,130,130,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,8,118.375,118.5,2.469789501,121,117,4.719457508,2.5,0.03,0.012,3.60E-04,9.00E-04
201778,BCSI-201778-QCSD02,2017-09-29T00:00:00Z,2017,SEP,29,Midwater Trawl,6,Y,CFV SEACREST,NA,QCSD02,QCSD02,20,0.33,DAY,51.001,-127.978,51.009,-128.013,1.41,NM,11,1,4.2,KNOTS,290,119,128,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,10,123.3,124,2.782610498,116,129,7.554533189,2.61,0.03,0.012,3.60E-04,9.40E-04
